table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
fsh_fieldData,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic,*.######(round),N,NA
fsh_fieldData,coordinateUncertainty,The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term,real,meter,basic,*.#(round),N,NA
fsh_fieldData,elevation,Elevation (in meters) above sea level,real,meter,basic,*.#(round),N,NA
fsh_fieldData,elevationUncertainty,Uncertainty in elevation values (in meters),real,meter,basic,*.#(round),N,NA
fsh_fieldData,geodeticDatum,Model used to measure horizontal position on the earth,string,NA,basic,asIs,N,NA
fsh_fieldData,startDate,The start date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA
fsh_fieldData,endDate,The end date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA
fsh_fieldData,boutEndDate,The end date of the entire bout,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_fieldData,samplingProtocolVersion,The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX,string,NA,basic,LOV,N,fsh.samplingProtocolVersion
fsh_fieldData,samplingImpractical,Samples and/or measurements were not collected due to the indicated circumstance,string,NA,basic,LOV,N,samplingImpractical
fsh_fieldData,reachCondition,An indication of the condition of the sampling reach,string,NA,basic,LOV,N,fsh.reachCondition
fsh_fieldData,measuredReachLength,The length of the reach as measured by the technicians when the reach was established,real,meter,basic,*.#(round),N,NA
fsh_fieldData,fixedRandomReach,An indication of whether the reach is fixed or random,string,NA,basic,LOV,N,fsh.fixedRandom
fsh_fieldData,barrierSubReach,Identifies which sub reach was sampled for reaches that are split by a barrier,string,NA,basic,LOV,N,fsh.barrierSubReach
fsh_fieldData,identifiedBy,An identifier for the technician who identified the specimen,string,NA,basic,asIs,N,NA
fsh_fieldData,aCollectedBy,Primary NEON technician username who collected the data,string,NA,basic,asIs,N,NA
fsh_fieldData,bCollectedBy,Secondary NEON technician username who collected the data,string,NA,basic,asIs,N,NA
fsh_fieldData,cCollectedBy,Additional NEON technician username who collected the data,string,NA,basic,asIs,N,NA
fsh_fieldData,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA
fsh_fieldData,dataQF,Data quality flag,string,NA,basic,asIs,N,NA
fsh_fieldData,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
fsh_fieldData,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
fsh_identificationHistory,uid,Unique ID within NEON database; an identifier for the record,string,NA,expanded,asIs,N,NA
fsh_identificationHistory,identificationTable,The table(s) containing the record to which this identification history applies,string,NA,expanded,asIs,N,NA
fsh_identificationHistory,domainID,Unique identifier of the NEON domain,string,NA,expanded,asIs,N,NA
fsh_identificationHistory,siteID,NEON site code,string,NA,expanded,asIs,N,NA
fsh_identificationHistory,locationID,Identifier for location where sample was collected,string,NA,expanded,asIs,N,NA
fsh_identificationHistory,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,expanded,asIs,Y,NA
fsh_identificationHistory,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,expanded,yyyy-MM-dd(floor),Y,NA
fsh_identificationHistory,endDate,The end date-time or interval during which an event occurred,dateTime,NA,expanded,yyyy-MM-dd(floor),N,NA
fsh_identificationHistory,taxonID,"Species code, based on one or more sources",string,NA,expanded,asIs,N,NA
fsh_identificationHistory,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,expanded,asIs,N,NA
fsh_identificationHistory,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,expanded,asIs,N,NA
fsh_identificationHistory,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,expanded,LOV,N,Identification Qualifiers
fsh_identificationHistory,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded,LOV,N,fsh.identificationReferences
fsh_identificationHistory,identificationRemarks,Comments or notes about the identification,string,NA,expanded,LOV,N,identificationRemarks
fsh_identificationHistory,remarks,Technician notes; free text comments accompanying the record,string,NA,expanded,asIs,N,NA
fsh_identificationHistory,identifiedBy,An identifier for the technician who identified the specimen,string,NA,expanded,asIs,N,NA
fsh_identificationHistory,dataQF,Data quality flag,string,NA,expanded,asIs,N,NA
fsh_invertBycatch,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA
fsh_invertBycatch,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA
fsh_invertBycatch,siteID,NEON site code,string,NA,basic,asIs,N,NA
fsh_invertBycatch,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,Y,NA
fsh_invertBycatch,passStartTime,The start time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_invertBycatch,passEndTime,The end time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_invertBycatch,boutEndDate,The end date of the entire bout,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_invertBycatch,passNumber,Number of the sampling pass within a reach,unsigned integer,number,basic,integer,Y,NA
fsh_invertBycatch,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,asIs,Y,NA
fsh_invertBycatch,voucherSampleID,Unique identifier for the voucher sample,string,NA,basic,asIs,N,NA
fsh_invertBycatch,voucherSampleCode,Barcode of a voucher sample,string,NA,basic,asIs,N,NA
fsh_invertBycatch,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic,asIs,Y,NA
fsh_invertBycatch,taxonID,"Species code, based on one or more sources",string,NA,basic,asIs,Y,NA
fsh_invertBycatch,morphospeciesID,Identifier for morphospecies,string,NA,basic,asIs,Y,NA
fsh_invertBycatch,morphospeciesIDRemarks,Technician notes about the morphospecies; free text comments accompanying the record,string,NA,basic,asIs,N,NA
fsh_invertBycatch,bulkInvertCount,The number of macroinvertebrates per scientificName counted during fish processing,unsigned integer,number,basic,integer,N,NA
fsh_invertBycatch,bulkMortality,The number of specimens found dead in bulk processing,unsigned integer,number,basic,integer,N,NA
fsh_invertBycatch,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,basic,LOV,N,Identification Qualifiers
fsh_invertBycatch,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,basic,LOV,N,fsh.identificationReferences
fsh_invertBycatch,identifiedBy,An identifier for the technician who identified the specimen,string,NA,basic,asIs,N,NA
fsh_invertBycatch,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA
fsh_invertBycatch,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,expanded,asIs,N,NA
fsh_invertBycatch,dataQF,Data quality flag,string,NA,basic,asIs,N,NA
fsh_invertBycatchIDHistory,uid,Unique ID within NEON database; an identifier for the record,string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,identificationTable,The table(s) containing the record to which this identification history applies,string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,domainID,Unique identifier of the NEON domain,string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,siteID,NEON site code,string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,locationID,Identifier for location where sample was collected,string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,expanded,asIs,Y,NA
fsh_invertBycatchIDHistory,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,expanded,yyyy-MM-dd(floor),Y,NA
fsh_invertBycatchIDHistory,endDate,The end date-time or interval during which an event occurred,dateTime,NA,expanded,yyyy-MM-dd(floor),N,NA
fsh_invertBycatchIDHistory,taxonID,"Species code, based on one or more sources",string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,expanded,LOV,N,Identification Qualifiers
fsh_invertBycatchIDHistory,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,identificationRemarks,Comments or notes about the identification,string,NA,expanded,LOV,N,identificationRemarks
fsh_invertBycatchIDHistory,remarks,Technician notes; free text comments accompanying the record,string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,identifiedBy,An identifier for the technician who identified the specimen,string,NA,expanded,asIs,N,NA
fsh_invertBycatchIDHistory,dataQF,Data quality flag,string,NA,expanded,asIs,N,NA
fsh_morphospecies,uid,Unique ID within NEON database; an identifier for the record,string,NA,expanded,asIs,N,NA
fsh_morphospecies,domainID,Unique identifier of the NEON domain,string,NA,expanded,asIs,Y,NA
fsh_morphospecies,siteID,NEON site code,string,NA,expanded,asIs,N,NA
fsh_morphospecies,namedLocation,Name of the measurement location in the NEON database,string,NA,expanded,asIs,N,NA
fsh_morphospecies,morphospeciesCreatedDate,Date and time of morphospecies record creation,dateTime,NA,expanded,yyyy-MM-dd(floor),N,NA
fsh_morphospecies,morphospeciesResolvedDate,Date and time of resolving the morphospecies identification,dateTime,NA,expanded,yyyy-MM-dd(floor),N,NA
fsh_morphospecies,taxonID,"Species code, based on one or more sources",string,NA,expanded,asIs,Y,NA
fsh_morphospecies,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,expanded,asIs,N,NA
fsh_morphospecies,morphospeciesID,Identifier for morphospecies,string,NA,expanded,asIs,Y,NA
fsh_morphospecies,morphospeciesIDRemarks,Technician notes about the morphospecies; free text comments accompanying the record,string,NA,expanded,asIs,N,NA
fsh_morphospecies,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,expanded,LOV,N,Identification Qualifiers
fsh_morphospecies,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded,asIs,N,NA
fsh_morphospecies,recordedBy,An identifier for the technician who recorded the data,string,NA,expanded,asIs,N,NA
fsh_morphospecies,identifiedBy,An identifier for the technician who identified the specimen,string,NA,expanded,asIs,N,NA
fsh_morphospecies,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,expanded,asIs,N,NA
fsh_morphospecies,dataQF,Data quality flag,string,NA,expanded,asIs,N,NA
fsh_perFish,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA
fsh_perFish,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA
fsh_perFish,siteID,NEON site code,string,NA,basic,asIs,N,NA
fsh_perFish,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,Y,NA
fsh_perFish,passStartTime,The start time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perFish,passEndTime,The end time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perFish,boutEndDate,The end date of the entire bout,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perFish,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,asIs,Y,NA
fsh_perFish,passNumber,Number of the sampling pass within a reach,unsigned integer,number,basic,integer,Y,NA
fsh_perFish,specimenNumber,Number of the specimen,unsigned integer,number,basic,integer,Y,NA
fsh_perFish,taxonID,"Species code, based on one or more sources",string,NA,basic,asIs,N,NA
fsh_perFish,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic,asIs,N,NA
fsh_perFish,taxonRank,The lowest level taxonomic rank that can be determined for the individual or specimen,string,NA,basic,asIs,N,NA
fsh_perFish,morphospeciesID,Identifier for morphospecies,string,NA,basic,asIs,N,NA
fsh_perFish,morphospeciesIDRemarks,Technician notes about the morphospecies; free text comments accompanying the record,string,NA,basic,asIs,N,NA
fsh_perFish,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,basic,LOV,N,Identification Qualifiers
fsh_perFish,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,basic,LOV,N,fsh.identificationReferences
fsh_perFish,fishTotalLength,Length of the specimen,real,millimeter,basic,integer,N,NA
fsh_perFish,fishWeight,Live weight as measured in the field,real,gram,basic,*.#(round),N,NA
fsh_perFish,samplerType,Type of sampler used to collect the sample,string,NA,basic,LOV,N,fsh.samplerType
fsh_perFish,delt,"Indication of any deformities, eroded fins, lesions/parasites, tumors",string,NA,basic,LOV,N,fsh.delt
fsh_perFish,efMortality,Indication of mortality from the electrofishing equipment,string,NA,basic,LOV,N,Yes or No choice
fsh_perFish,efInjury,"Indication of injury from the electrofishing equipment (burn marks, bent spine, hemorrhage)",string,NA,basic,LOV,N,Yes or No choice
fsh_perFish,fishLifeStage,Indication of the life stage of the fish,string,NA,basic,LOV,N,fsh.lifeStage
fsh_perFish,sampleTypeCollected,Type of sample collected,string,NA,basic,LOV,N,fsh.sampleTypeCollected
fsh_perFish,voucherSampleID,Unique identifier for the voucher sample,string,NA,basic,asIs,N,NA
fsh_perFish,voucherSampleCode,Barcode of a voucher sample,string,NA,basic,asIs,N,NA
fsh_perFish,dnaSampleID,Identifier for DNA sample,string,NA,basic,asIs,N,NA
fsh_perFish,dnaSampleCode,Barcode of a DNA sample,string,NA,basic,asIs,N,NA
fsh_perFish,identifiedBy,An identifier for the technician who identified the specimen,string,NA,basic,asIs,N,NA
fsh_perFish,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA
fsh_perFish,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,expanded,asIs,N,NA
fsh_perFish,dataQF,Data quality flag,string,NA,basic,asIs,N,NA
fsh_perFish,barrierSubReach,Identifies which sub reach was sampled for reaches that are split by a barrier,string,NA,basic,LOV,N,fsh.barrierSubReach
fsh_perFish,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
fsh_perFish,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
fsh_perPass,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA
fsh_perPass,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA
fsh_perPass,siteID,NEON site code,string,NA,basic,asIs,N,NA
fsh_perPass,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,Y,NA
fsh_perPass,passStartTime,The start time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perPass,passEndTime,The end time of the pass,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perPass,boutEndDate,The end date of the entire bout,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perPass,passNumber,Number of the sampling pass within a reach,unsigned integer,number,basic,integer,Y,NA
fsh_perPass,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,asIs,Y,NA
fsh_perPass,waterTemp,Temperature of water (C),real,celsius,basic,*.#(round),N,NA
fsh_perPass,dissolvedOxygen,Dissolved Oxygen Concentration,real,milligramsPerLiter,basic,*.#(round),N,NA
fsh_perPass,specificConductance,Conductivity auto-corrected to 25 degrees C,real,microsiemensPerCentimeter,basic,*.#(round),N,NA
fsh_perPass,samplerType,Type of sampler used to collect the sample,string,NA,basic,LOV,N,fsh.samplerType
fsh_perPass,habitatType,Habitat type sampled,string,NA,basic,LOV,N,fsh.habitatType
fsh_perPass,subdominantHabitatType,Subdominant habitat type sampled,string,NA,basic,LOV,N,fsh.habitatType
fsh_perPass,initialFrequency,Frequency at the start of data collection,real,hertz,basic,integer,N,NA
fsh_perPass,initialDutyCycle,Duty cycle at the start of data collection,real,percent,basic,integer,N,NA
fsh_perPass,initialVoltage,Voltage at the start of data collection,real,volt,basic,integer,N,NA
fsh_perPass,finalFrequency,Frequency at the end of data collection,real,hertz,basic,integer,N,NA
fsh_perPass,finalDutyCycle,Duty cycle at the end of data collection,real,percent,basic,integer,N,NA
fsh_perPass,finalVoltage,Voltage at the end of data collection,real,volt,basic,integer,N,NA
fsh_perPass,efTime,Operational time of the electrofisher,real,second,basic,integer,N,NA
fsh_perPass,settingsChanged,Number of times the settings changed,unsigned integer,number,basic,integer,N,NA
fsh_perPass,initialFrequency2,Frequency at the start of data collection for the second electrofisher,real,hertz,basic,integer,N,NA
fsh_perPass,initialDutyCycle2,Duty cycle at the start of data collection for the second electrofisher,real,percent,basic,integer,N,NA
fsh_perPass,initialVoltage2,Voltage at the start of data collection for the second electrofisher,real,volt,basic,integer,N,NA
fsh_perPass,finalFrequency2,Frequency at the end of data collection for the second electrofisher,real,hertz,basic,integer,N,NA
fsh_perPass,finalDutyCycle2,Duty cycle at the end of data collection for the second electrofisher,real,percent,basic,integer,N,NA
fsh_perPass,finalVoltage2,Voltage at the end of data collection for the second electrofisher,real,volt,basic,integer,N,NA
fsh_perPass,efTime2,Operational time of the electrofisher for the second electrofisher,real,second,basic,integer,N,NA
fsh_perPass,settingsChanged2,Number of times the settings changed for the second electrofisher,unsigned integer,number,basic,integer,N,NA
fsh_perPass,netIntegrity,Indication of the integrity of the net,string,NA,basic,LOV,N,fsh.netIntegrity
fsh_perPass,netSetTime,Time the net was set,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perPass,netEndTime,Time the net was pulled,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),N,NA
fsh_perPass,netDeploymentTime,Total time of deployment of the net,real,hour,basic,*.##(round),N,NA
fsh_perPass,netLength,Length of the net,real,meter,basic,*.#(round),N,NA
fsh_perPass,netDepth,Deployment depth of the net,real,meter,basic,*.#(round),N,NA
fsh_perPass,targetTaxaPresent,Indicator of whether the sample contained individuals of the target taxa,string,NA,basic,LOV,N,Yes or No choice
fsh_perPass,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA
fsh_perPass,dataQF,Data quality flag,string,NA,basic,asIs,N,NA
fsh_perPass,barrierSubReach,Identifies which sub reach was sampled for reaches that are split by a barrier,string,NA,basic,LOV,N,fsh.barrierSubReach
fsh_perPass,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
fsh_perPass,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
