uid,domainID,siteID,namedLocation,passStartTime,passEndTime,boutEndDate,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,identificationReferences,fishTotalLength,fishWeight,samplerType,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,voucherSampleCode,dnaSampleID,dnaSampleCode,identifiedBy,remarks,dataQF,barrierSubReach,publicationDate,release
82bf9c92-9a12-4872-8cc5-3ba9774c94a4,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,3,SALTRU,Salmo trutta,species,NA,NA,NA,NA,119,16,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
74064811-077f-4eea-bd9f-d95cff39cfae,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,10,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,114,16,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
5000d3a2-f575-4b7e-9512-0ef13297eadc,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,9,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,117,16,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
16f8f725-a116-4dd6-a4ee-f5fb0b931b16,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,21,SALTRU,Salmo trutta,species,NA,NA,NA,NA,136,25,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
e481c90c-30e6-49eb-999a-f6e31a158d31,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,19,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,99,9,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
a245692c-114e-48a1-9c1d-2d3efec5ee21,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,25,SALTRU,Salmo trutta,species,NA,NA,NA,NA,107,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
2404ad2e-d00c-4946-b334-f42a733a5ebd,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,7,SALTRU,Salmo trutta,species,NA,NA,NA,NA,105,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
c83a6e34-3753-4556-8a35-ef59c39f3e62,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,20,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,91,6,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
9b53d9e3-3c48-4dc8-8457-7967461fd62a,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,5,SALTRU,Salmo trutta,species,NA,NA,NA,NA,127,16,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
7f25985c-7a49-45f7-a5e6-e79f8730f3b0,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,16,SALTRU,Salmo trutta,species,NA,NA,NA,NA,116,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
84778edb-1b2f-4cca-9c97-1d7b809047cd,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,17,SALTRU,Salmo trutta,species,NA,NA,NA,NA,108,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
bcbe30d4-8f76-4e09-9a82-c746bd04c64b,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,15,SALTRU,Salmo trutta,species,NA,NA,NA,NA,221,96,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
cff87b30-c214-4dea-a0dc-ed2a5f40793c,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,4,SALTRU,Salmo trutta,species,NA,NA,NA,NA,103,10,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
21cafb46-1f0c-4c63-b8ee-56732703a83a,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,13,SALTRU,Salmo trutta,species,NA,NA,NA,NA,125,16,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
90014495-755e-46dd-9fe0-fbeebae2a831,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,27,SALTRU,Salmo trutta,species,NA,NA,NA,NA,109,11,electrofisher,NA,Y,NA,juvenile,voucher sample only,FSH.BIGC.01.20190422.1.0027,A00000026791,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
d47ed354-3d99-453a-aac5-2cd55f973c9d,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,1,SALTRU,Salmo trutta,species,NA,NA,NA,NA,221,105,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
ea2f7837-c47c-4789-84b1-52b3a7242c3d,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T17:45:00Z,2019-04-22T20:15:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,14,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,99,8,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
ec1d8051-7ca3-40f2-b12a-72d18a9ea218,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T21:33:00Z,2019-04-22T22:33:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,2,2,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,93,10,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
967f1cd2-6a9a-4603-9b9b-4edaba2abf28,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T21:33:00Z,2019-04-22T22:33:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,2,4,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,100,10,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
20d18aec-89a0-4b27-ad8c-e2e579318229,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T21:33:00Z,2019-04-22T22:33:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,2,3,SALTRU,Salmo trutta,species,NA,NA,NA,NA,121,18,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
e86e1723-4c90-4060-988e-4f42c1e9300a,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T21:33:00Z,2019-04-22T22:33:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,2,6,OTHE,Chordata sp.,phylum,D17.BIGC.2019.MorphA,YOY Trout,NA,NA,28,0.3,electrofisher,NA,NA,NA,young of year,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
2ec0db4e-5290-400a-8616-f7e40e961209,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T21:33:00Z,2019-04-22T22:33:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,2,7,SALTRU,Salmo trutta,species,NA,NA,NA,NA,185,62,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
112f03b1-6ea3-4e8b-a284-19dc0ca988f9,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T21:33:00Z,2019-04-22T22:33:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,2,1,SALTRU,Salmo trutta,species,NA,NA,NA,NA,115,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
df6c8e98-7434-4113-ab1f-e8045b38fe0c,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T21:33:00Z,2019-04-22T22:33:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,2,5,SALTRU,Salmo trutta,species,NA,NA,NA,NA,205,79,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
da3f2cc2-4141-4e41-a846-18e911695e7d,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,4,SALTRU,Salmo trutta,species,NA,NA,NA,NA,228,116,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
a8774b22-45d3-489c-9821-a136b5b50070,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,3,SALTRU,Salmo trutta,species,NA,NA,NA,NA,96,8,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
a904a991-ac81-4616-b735-e8e35cb86b06,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,2,SALTRU,Salmo trutta,species,NA,NA,NA,NA,116,10,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
4b547e73-dc46-4389-a8ae-e1c969eb6e5b,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,7,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,90,8,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
3d8fe277-1c21-4fc5-b026-942964a3f6c8,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,5,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,87,7,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
a3cb0e1f-bd08-4ff3-b20b-6ee97ef3c5b1,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,9,SALTRU,Salmo trutta,species,NA,NA,NA,NA,205,79,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
a5d14cf8-7ece-4b27-84fd-c381cd7252e7,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,6,SALTRU,Salmo trutta,species,NA,NA,NA,NA,106,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
dba6a37f-fce0-450e-8904-ba1b1647f332,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,8,SALTRU,Salmo trutta,species,NA,NA,NA,NA,112,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
9188759b-c3d8-48bd-804d-aa1b54a0e3f4,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,10,SALTRU,Salmo trutta,species,NA,NA,NA,NA,196,68,electrofisher,NA,Y,NA,adult,voucher sample only,FSH.BIGC.01.20190422.3.0010,A00000026752,NA,NA,0000-0001-7072-0706,Stuck in rocks. Over shocked,NA,NA,20251205T173903Z,RELEASE-2026
73f14b6e-1cfe-4a5c-9278-fadf52d709ae,D17,BIGC,BIGC.AOS.fish.point.01,2019-04-22T23:00:00Z,2019-04-23T00:05:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,3,1,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,102,11,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
d3d37eab-ab67-4b75-bea2-56fbc77926eb,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,25,SALTRU,Salmo trutta,species,NA,NA,NA,NA,105,11,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
ec621b83-bddc-46f8-9cb3-bec12f5dcd2d,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,24,SALTRU,Salmo trutta,species,NA,NA,NA,NA,200,73,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
6de5ffca-c7e4-4df3-9c49-63ee03bc3d44,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,14,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,145,33,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
abc451df-4021-4c63-865b-f1b4a84aae92,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,6,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,151,37,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
3ca5eee5-b3cf-4083-9070-3a2516e003fb,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,11,SALTRU,Salmo trutta,species,NA,NA,NA,NA,98,8,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
e86712e8-043d-44cb-a6db-e4cd670abba3,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,7,SALTRU,Salmo trutta,species,NA,NA,NA,NA,117,15,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
4baa80d9-c05c-46dc-9e21-d6df0c1709d6,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,19,SALTRU,Salmo trutta,species,NA,NA,NA,NA,210,90,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
732af771-92e2-4d24-bc5d-7fcd1efd1842,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,26,SALTRU,Salmo trutta,species,NA,NA,NA,NA,118,14,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
b59ccdfa-8909-45c5-82b2-3bb0fbec8bd7,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,5,SALTRU,Salmo trutta,species,NA,NA,NA,NA,118,16,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
15dfece7-63ca-4537-9c40-d8649a55d787,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,33,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,95,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
f3a78d37-90f1-4132-ba3e-e4eddeea9977,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,23,SALTRU,Salmo trutta,species,NA,NA,NA,NA,210,86,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
a9405933-4145-46ca-b0a3-b63b1ade6425,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,36,SALTRU,Salmo trutta,species,NA,NA,NA,NA,121,12,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
c634da40-1c28-4131-b5de-803aefe3a565,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,22,SALSP2,Salmonidae sp.,family,NA,NA,NA,NA,92,8,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
ce12a58a-b7a7-442c-bcbd-5ba9fa62de26,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,13,SALTRU,Salmo trutta,species,NA,NA,NA,NA,128,23,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
14832e81-1f4d-4ef2-9ffd-2d5006f96802,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,30,SALTRU,Salmo trutta,species,NA,NA,NA,NA,118,18,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
c1f648c8-9be8-481e-a373-3bb038b3e050,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,15,SALTRU,Salmo trutta,species,NA,NA,NA,NA,126,19,electrofisher,NA,NA,NA,juvenile,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
30361548-2a9e-4ae4-89f1-e2519d75b13f,D17,BIGC,BIGC.AOS.fish.point.04,2019-04-23T17:21:00Z,2019-04-23T19:35:00Z,2019-04-25T22:55:00Z,BIGC.2019.spring,1,4,SALTRU,Salmo trutta,species,NA,NA,NA,NA,205,85,electrofisher,NA,NA,NA,adult,no sample,NA,NA,NA,NA,0000-0001-7072-0706,NA,NA,NA,20251205T173903Z,RELEASE-2026
